The following words are homonyms--they are spelled the same but have completely different meanings. You need to be on the lookout for these words and analyze the context before selecting the Headword and ID.,,,,,,
,,,,,,
,,,,,,
Word,Headword,ID,Possible Forms (non-exhaustive),Meaning,Example,
Angel,Angel,INT-0148,Angell,Type of English currency. Look for arabic or Roman numerals. ,"""a Counterfett Angell""; ""began to tell some xx Angelles""; '.xl. Angelles in gold""; ""a brace of Angels or twentie shillinges in money""; ""Twoo english angelles of gould""; ""solde the same cloth againe & loste allmost an angell""",
Angel,Angel,INT-0245,Angells; Angels,Celestial being,"""the drincke of Godes and Angells""",
Beast,Beast,T-0009,Beastes,A general name for livestock,"""an hundred shepe or therabout, and a grette number of other beastes and Cattels""; ""the best Beaste for an herriott""; ""all theire beastes Comminable Levant and Couchant""",
Beast,Cattle,T-0032,Mylche Beastes; Beastes,A reference specifically to cows. Will generally co-appear with other words for cattle and cows.,"""Milche kine and draughte beastes""; ""Hughe Huntter did sell at Harboroughe ffaire last the saide 20 steeres but for what price or pryces or to whome they were solde this deponent knoweth not & this deponent sayeth that he mett with the saide Hughe Hunter at Harborough ffaire last & asked of him whether he had solde his beastes""; ""certen rother beastes""",
Bill,Bill,INT-0005,Bill of Debt; Bill Obligatory; Bylle of Deabte; Bill of Debte; Bille of Debt; Bille of Debte; Byll of Debt; Byll of Debte; Bylles of Deabte; Bylle of Deabtt; Bylle of Deabte; Bylle,A written document obligating a debtor to a creditor,"""the said bill was dated the 29 · of Apr 1620""; ""any bonds bills or writings""; ""bylle of deabte for the paymente of CCCCiiij£""; ""redeliuered to this deponent a bill of debte in which this deponent was bounde""; executors wold prove the bill obligatorye to his dede""",
Bill,Bill,T-0008,Bill; Bearinge Bill,Type of scythe used in agriculture and sometimes brandished as a weapon,"""bearing bill which he doth vsually carry""; ""hedging billes
which they vsed abowt the cutting downe of the said hedges""; ""swordes daggers staves pitchforkes Billes and other weapons""; ""with billes staues swordes dagers Crosboves haundgonnes moryspikes pichforkes and dyuers other warrelike wepons""; ""how many longe staues or bills were then Carried""; ""finde A Caliuer And to sett him At A blacke bill, & schull""",
Bill,Bill of Complaint,INT-0142,Bill ,"A pleading brought in court to initiate a suit; most often found as ""complaint"" or a spelling variant of that.","""exhibited his bill in the Chancery""; ""preferringe of the Bill of Indytement""; ""To which said bill this defendant Thomas Skelt & ffrances Compton dyd vppon their othes putt in their answeres""; ""the Complainantes bill in this Court""; ""impertynent to the plaintiffes bill""; ""other misdemenours in the said Bill suggested""; ""procure a bill or declaracion to bee made & fyled in the same Courte""; ""in the said Bill named""; ""in the said Bill mencioned""; ""As in the said Bill is aledged""",
Bill,Bill of Exchange,INT-0006,Bill of Exchaunge; Billes,A monetary instrument,"""the presentment of the billes of exchange""; ""the Billes of Exchange wich the said John vandewall made for twoe thowsand twoe hundreth fiftye twoe poundes""; ""the said Bill of exchange which then seemed to be dated the xxixᵗʰ of Aprill · 1620""; ""and therwith sent over to the said Complaynt
a bill of Exchaunge willinge and entreatinge the said Complaynante to procure the said bill to be accepted""; ""to whom the said bill of Exchaunge was directed""",
Bill,Bill of Lading,INT-0237,Bill of Lading,A written certificate recording the freight in a ship,"""in the ship called the white ffalcon A bill of lading, signed by derick Rowle in lisborne""; ""A bill of lading signed by the said Gerard Egbarts, dated at hamborough 7ᵒ November 1588""; ""that the said factory and bill of lading were sent him from""",
Bill,Bill of Sale,INT-0199,Bill of Sale,A written receipt of a sale,"""grograine that he vsed to weare and had borrowed three pounde vpon the same and had made a bill of sale thereof""; ""defendante had the same Clothes by a Bill of sale from this Complaynante""; ""brode Clothes whiche did amounte vnto a greater somme then the said hundrethe ffowerscore and three poundes vpon a bill of Sale""; ""haue yow not sene a bill of sale made from Robert Brooke your ffather in Lawe wherin the said Brooke did sell to the plaintiff a Nedleworke Carpett and was not the sayd bill of sale wrytten by your husbande and subscribed with the said Brookes owen hand""; ""before the making of the bill of Sale of the founteyne""",
