ID,Headword,Definition,Examples
E-0161,Abate/Compensate,"The act of reducing or remitting an amount owed, or making financial allowance or recompense for a loss, shortfall, or damage",they sholde abate Fortie nyne poundes; the said Roberte Birde should abate of the price agreed vpon the some of forty duccates; he woulde abate so much as was lost in the sellinge of the same; if any of the said Clothes had any Cokill bounde or Raye that the said Carr sholde recompence as moche money as his lossys in the case of the said Clothes sholde amounte vnto; make any manner of allowance or abatement
E-0159,Accept,"The act of consenting to receive, take, or agree to something offered, tendered, or proposed by another party.",to accept of; hath accepted from; which the said Smitsart accepted
E-0002,Accuse/Charge,"The act of imputing wrongdoing, fault, crime, deception, or misconduct to a person.",charged him; accused him of wrongdoing
E-0128,Acknowledge,"The act of recognizing, admitting, or confirming a fact, obligation, debt, receipt, or state of affairs.",did acknowledge himselfe to be endebted by a certeyne Note; acknowledgeth it to be true; was knowledged afore; confess a Judgment upon the said bond; confess an Action in the Guildhall
E-0116,Advise,"The act of giving counsel, guidance, or a recommendation to another person on a matter requiring judgment or expertise.",he vsed this Deponentes opynion in the buyinge thereof; advised by his counsel
E-0113,Affirm,"The act of asserting or maintaining that something is true in response to doubt, challenge, or uncertainty.",affirme; affirmed; earnestly protested that he wold deale very well; Sayinge and affyrminge that; affirming that; ernestlie vowed & protested; I protest before God; take the sacrament; truly protested and declared upon his oath; made Certificate and gave Information and Intelligence and truly protested and declared upon his oath; hath upon his oath affirmed
E-0148,Agree/Assent,"The act of consenting to a proposal, arrangement, or course of action put forward by another party, expressing willingness to proceed.",yeelded vnto; would agree; he would agree with this deponent; your said Orator assented; drawne & assented to
E-0005,Allege,"The act of asserting or stating a claim, fact, or state of affairs as true without yet establishing proof.",alleadged; is surmised; is surmysed; is suggested; allege for an example
E-0006,Alter/Change,"The act of changing, modifying, or transforming a thing from its original state.",altered and changed; rased altered and falsified; was altered
E-0198,Amend,"The act of putting right what is damaged, faulty, or wrong",repaire ye said houses; needfull to be repayred by; he may repaire all defectes in; to repaire amend the same; ought to repaire the howses; correct amend; to repayre and amend them; he Could not amend it; to amend my fault; to reforme and amend
E-0151,Answer/Reply,"The act of giving a verbal or written response to a question, demand, or request made by another party.",gave noe answere; made him Answere; reseaved answere yᵗ the said Ewer was not at home; hee answerred that; Aunsweried this deponent thatt; did returne his Answere
E-0187,Appear Before/Attend,"The act of being present at, going to, or coming before a place, event, person, or authority","whereby you Could not appeare before; for that noe Councell for the said
defendant doth appeare; shall attend this Court; had not appeared before; attended sundry days at his Lordship's house; waiting to; had other business of her Majesty's and therefore could not come"
E-0211,Appoint,"The act of designating a person to a role or task, or setting a time or place for something to occur.","appoynted; appointed by master Thomas Pallmer to goe; he and the sayd Stephen morrye were appointed by one John marshe; he appointed him to remove thirtie or one and thirtie or two and thirtie bagges of money then in the said shipp; had putt one Wyllyam Jones to be hys factor; did very often and many times will appointe and aucthorise; did appointe and aucthorise; appoynted and authorized; did appointe; nominated & appointed; depute, constitute, and appoint"
E-0007,Appraise/Estimate,"The act of evaluating, judging, or approximating the quantity, value, weight, or worth of something",the goodes were appreysed to the some of xls; order for the appreysing of the goodes and Chattles; they shalbe indifferently praysed; Praysed at; preysed at; praised to; beinge of the waight as he estemed them of vijxx Hundreths
E-0105,Approve of/Commend,"The act of expressing favorable evaluation of a person, act, or thing.",comende; dyd approue; did then commend; commended unto
E-0008,Arbitrate/Mediate,The act and process of intervening between parties in controversy to determine or facilitate resolution of the matter.,did in the ende agree vppon an awarde or order for the finall endinge of all the greefes and Controuersies betwene the said parties; He that solde the said Clothes and they to whome the same were soulde did indifferently Choose betwene them Arbitrators to ende the said Controuersie betwene them wherevpon the said Arbitrators did view and search the said Cloathes vpon which search thereof made for that the said Cloathes were founde by the said Arbitrators verie faulty and full of rayes and faultes The said Arbitrators did then awarde that the said Roberte Birde should abate of the price agareed vpon the some of forty duccates which amounteth to the somme of twentie markes; the questions and controuersies betwene them to the hearing and ending of one Thomas Allabaster of London merchant who did order betwene them; by medyacion of
E-0009,Arrest,The act of seizing or taking a person into custody.,the saide Tayler did arreste your highnesse saide Subiecte; william Cheshull to be arrested by Thomas henson sergeant at mase; arrested at the sute of the saide defendant; hath caused hym to be Arrestyd; apprehended; was apprehended and taken
E-0091,Arrive,The act of reaching a destination,the said shippe beinge landed; arrive safely; did salfelye lande; the arrivall landinge & takinge up of the same goodes
E-0075,Assemble,The act of coming together or gathering as a group in a place.,dyd then and thear assembled them selves at Crowen aforesaid And so beinge assembled; the men did assemble them selves at seuerall times and places
E-0210,Assign,"The act of formally making over a right, interest, lease, or obligation to another party.","did assigne and sett over for the securytie of the said dette, assigned over all his Interest; dyd transpasse and sett over suche bylles of dettes"
E-0010,Attack,"The act of making a hostile or aggressive move against a person, place, or thing using physical force.",hath diuers tymes assaulted your said subiectes goeing about his busynes; the said Edwarde Bodye did stucke your said subiect on the face with his dagger; did sodenly assaulte the said Pembridge; assaulte and Manassede of liffe and membre one Richard Newton; did most grevouslye Strike beate and wound in dyvers partes of his bodie; did in furyous and desperate maner assaulte the said mottershedde strykyng & fayninge at him with a longe pyked staffe; dyd wounde or hurte
E-0011,Authenticate,"The act of formally attesting that a document, instrument, or object is genuine","he showed the counterfeit letter with some other letters which he had formerly received from the said Turner unto divers Counsellors and attorneys ... who all agreed they were one and the self same hand; having seen the said letter, did affirm to this deponent it was the hand writing of the said Swaddon"
E-0114,Authorize,The act of giving another person permission or power to do something,directed a commission to; did never lawfullie aucthorise or enable; gyve power or authoritie to; gevinge him power and aucthoritye to; sent with aucthoritie & Comission to; am licensed to; to be licensed to travell into Spaine; he hadd leave to deale; did giue free licence leve & authoritie to the defendant; the Compleynant did give licence to the defendant to take the fees & proffittes of the said office; permitted to; give libertie & licence unto
E-0147,Avoid/Evade,"The act of deliberately absenting oneself or deflecting contact so as to prevent an encounter, obligation, or authority from taking effect.",to absent himself at the hearing; absenteding himself
E-0129,Bail,The act of securing a person's release from custody or guaranteeing their appearance before a court or authority.,bayled him; to bayle him; dyd bayle the said Cheshull vppon the said insufficient Bayle; was then and there bayled by; theye have put in bayle into the saide Courte; put in Bayle for the same into the Eschequier
E-0109,Believe,"The act of holding or expressing a view that something is true, likely, or the case.",he did verilie thinke in his Conscience; this deponent verily believeth; as this deponent thinketh; he supposeth; he beleeveth of; he verelye beleeveth; it was thought & esteemed by; as he taketh it; reputed to be; accounted to be; found himself agreved
E-0013,Borrow,"The act of taking money or goods from another on personal credit or bond, with an obligation to repay or return them",take vppe the som of Two thousand poundes; did borrowe to the summe of Tenn poundes of; did borrowe upon
E-0197,Break,"The act of physically breaking, forcing open, or demolishing a thing.",broke the lock; brake open chests
E-0015,Bribe,"The act of offering or giving money, goods, or advantage to influence another person's actions or testimony.",did offer vnto one Ewele of kinges Lin and his sone tene poundes in mony to depose vntruely; in Consideracion of a great bribe and rewarde given to him the said Cragge by the said Cheshull; did Corrupt the sayde laurence and Barton with his guyftes or brybes; Promises or rewards hath been offered to cloak or conceal
E-0186,Bring,The act of taking a person or thing along when going to a place,bringe a Sarieant at the Mace of the Citie of London to the said Custome house; brought back again to; brought unto him; are brought within
E-0196,Build,The act of constructing or making something.,erect or build; began to buyld; house was buylt; buyld a place; buylt a new chamber; did lett buyld; buyld vp; it was new buylt; did buylde
E-0074,Buy,The act of purchasing goods or property for value by bargain.,did ingrosse and obteyne into there handes and possessions by buying; boughte yerely; dyd buye; had bought of; had truly & sufficientlye bought and payed for
E-0202,Certify,The act of formally attesting or reporting something to a person or authority.,should make his Certificate under his hand; to certefie the kyng in hys chauncerie
E-0044,Coerce/Constrain,"The act or state of being compelled to act, whether by force, threat, pressure, or circumstance",exacted money unlawfully; extort; compelled and forsed the agrement vppon him; was enforsed ageynst all Right equytie and good consyence make suche wrytinges; was to his greate trouble constrained to; your subiect was constrayned to putt into the Haven at Callis; your Subiect is inforced to staye his said suite; compelled to; enforced to
E-0139,Color/Pretend,"The act of putting forward a false or pretended claim, justification, or appearance to mask the true state of affairs","did pretend or giue oute that he had lent any money vnto his said brother; the saide Jasper to coullor the havinge thereof; pretendinge to have Skill in fortune tellinge charmes and other sorceryes; did pretende himselfe to be a Credittor; should assume to himsealf and take uppon him the name of some knowne, hable, and honest Merchaunt; hath made shew to; the said Swaddon then pretended, he had occasion to use and imploye there in that Cuntrie the sume of Fowerscore poundes; to coullor; to culler the said dede of guift; framed a false account; deuise and procure som Culler to be made to couer his bad dealinge; shulde be a Colour to; fraudulently to coullor; set the same on foot of purpose to defraud; colorably acknowledge herself indebted; made show and semblance"
E-0118,Command,The act of ordering another person to do or not do something.,did Commaunde the said ryotous persons to laye downe their weapons and to kepe the peace; dyd cause them to goe; did comaund him to leaue; dyd then and there require the said Pembrudge and his said Companye to yeld them selues; charging her to give her said husband notice thereof; you departe my howse; commaundyng them; streightlye chardged your said Orator that; wyll and Requyre; willed that; commandyd yᵗ; ordered by; last warne and Charge you; willed this deponent to
E-0020,Commit Act of Bankruptcy,The act of becoming bankrupt or performing an act recognized in law as constituting bankruptcy,"became bankrupt; intendinge to become Bankrupt; ymediatly therevppon brake and became Bankerupte; sythence the sayd Moxon brake; the defendant did breake & departed from there; withdrewe himself out of your Maiestes dominions into the partes beyonde the Seas, where he lyved skulking and absenting himself from his Creditores; your Orator never fledd, kept his howse, suffred himselfe to be outlawed, arrested, nor ever practized to defraud his Creditors; Barkam was Bankrupte rune awaie & fledd & had nothinge wherewithall to satisfie his saide debtes"
E-0104,Communicate,"The act of conveying information, instruction, or notice to another person",informed one of the said Justices of the Common Pleas that the said Craycroft and ffraunces were verie honest and sufficient men; did signifie to the lord chief barron that; declaring to her the effect of the said writt; the effecte thereof made knowen to; give intelligence; givinge them intelligence; geven out in speeche; gyve forth in speeches
E-0022,Compound,The act of settling a debt by agreement on altered or reduced terms.,compounded for the debt; to falle to order and composicion; did Compound with him; dyd Compounde with him againe; to giue him somme reasonable tyme for the payment thereof; shoulde agree compounde or take order with your saide Subiectes & all other the saide Barkams Creditors for all his saide debtes to them; pay the said Allen and the said Creditors Tenn shillinges in the pounde of theire principal debtes; agree compounde or take order with your saide Subiectes & all other the saide Barkams Creditors for all his saide debtes to them due & owinge att five shillinges in the pownde; hath compounded or agreed with any person for any offence comytted; Compounded with the saide John Stevens of Bockham for xlˢ of money; hathe made composicion or agreement with; Did compounde and agre with; compounded for
E-0023,Conceal/Secrete,"The act of hiding or keeping secret a person, thing, or information to prevent others from finding or accessing it",conveyed away goods; kepe their Billes or Bookes secreat; to kepe secretly; coonvey away; in secrete & subtill manner; without privitie or knowledge; kept no accoumpte in wrytinge; concealing the accompt; hideth himself your sayde servaunt knoweth not where; altered and chaunged his name and woulde not shewe his face; had buried the same; absented him selfe; absenting himself from his Creditores; to kepe secretly to the use of; kept secrett unto themselves; indeavowringe by all meanes possible to conceale and keepe secrett; keepe secret; to cloak or conceal; should be concealed or kept in secret until; to cover the matter and to keep all things close
E-0025,Confer/Consult,The act of consulting or exchanging views with another person on a matter of shared concern.,deliberated together; consulted him about the debt; did you Conferr with the witnesses
