ID,Headword,Trigger,Function,Classification,Notes
SI-0368,Advocate,Advocates,Occupation,,
SI-0002,Agent,,Occupation,Commercial & Financial Intermediation,
SI-0351,Agent,Agente; Agentes,Occupation,,
SI-0004,Alderman,Aldermans,Office; Status,Civic & Sovereign Authority,Use status only when Alderman is used as an honorific
SI-0005,Alnager,awnnager,Office,"Administrative, Revenue & Enforcement Roles",
SI-0006,Ambassador,Imbassador; Imbassadores; Imbassadore; Imbassidors; Imbassydore; Imbassadoure,Office,Civic & Sovereign Authority,
SI-0380,Angel,Angell; Angells,,,
SI-0007,Apothecary,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0008,Appraiser,Priser; Prisor; Prizer; Preysers,Occupation,Commercial & Financial Intermediation,
SI-0009,Apprentice,Apprentyce; Apprintyse; Aprentice; Prentyce; Prentice; Prentices; Prentise,Occupation,Employment Structure (Non-Kinship),
SI-0012,Arbitrator,Arbitrators; Arbytrators,Occupation,Commercial & Financial Intermediation,
SI-0013,Attainted,,Status,Legal Status,
SI-0014,Attorney,Attornye; Atturney; Attorneye,Occupation; Office,Judicial & Legal Functions,
SI-0016,Attorney General,Atturney Generall; Quenes Attorney; Quenes Attornye,Office,Judicial & Legal Functions,
SI-0015,Attorney in the Common Pleas,,Office,Judicial & Legal Functions,
SI-0293,Aunt,,Kinship,,
SI-0018,Bailiff,Baylyffes; Baylyffe; Baylyff; Balyffe; Balyffes; Baylife,Office,"Administrative, Revenue & Enforcement Roles",
SI-0019,Baker,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0020,Barber,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0021,Bargeman,,Occupation,"Carriage, Transport & Logistics",
SI-0022,Baron of the Exchequer,Baron; Barons; Barron; Barrons; Barons of the Quenes maiesties Exchequer; Barrons of the Exchequier; Baronum Scaccarij; Barone; Baronem; Baronum,Office,Judicial & Legal Functions,
SI-0023,Bishop,,Office,Ecclesiastical Authority & Religious Office,
SI-0024,Blower,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0369,Boatsman,Botesman,Occupation,,
SI-0025,Boatswain,Boteson; Boteswayne,Occupation,"Carriage, Transport & Logistics",
SI-0265,Bowyer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0026,Brewer,Beer Brewer; Brewear; Brewar; Bruer; Beere Brewers; Beere Bruers; Berebruers; Brewers; Bruers,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0028,Brewster,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0029,Bricklayer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0030,Broderer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0031,Broker,Brokers; Brooker,Occupation,Civic & Sovereign Authority,
SI-0298,Brother,,Kinship,,
SI-0300,Brother-in-Law,,Kinship,,
SI-0035,Butcher,Bocher; Bocher,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0038,Captain,Capteine; Capteines; Captein,Office; Status,"Administrative, Revenue & Enforcement Roles",
SI-0376,Captive,,Status,,
SI-0039,Carman,,Occupation,"Carriage, Transport & Logistics",
SI-0040,Carpenter,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0041,Carrier,is carryer vnto; Carter; Carryar,Occupation,"Carriage, Transport & Logistics",
SI-0043,Chancellor of the Exchequer,Chauncellor of Thexchequier,Office,"Administrative, Revenue & Enforcement Roles",
SI-0044,Chandler,Chaundler; Chaundeler,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0045,Chapman,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0046,Chief Baron of the Exchequer,L. Chief Baron; Lord Chief Baron; Lord Chief Baron of the Exchequer; Chief Baron of Theschequier; Cheife Baron,Office,Judicial & Legal Functions,
SI-0289,Child,,Kinship,,
SI-0290,Children,,Kinship,,
SI-0047,Churchwarden,,Office,Ecclesiastical Authority & Religious Office,
SI-0048,Citizen,Citezens; Citizene; Citizens,Status,Legal Status,
SI-0027,Cleric,clark; clerk,Status,Ecclesiastical Authority & Religious Office,A person in holy orders
SI-0049,Clerk,Clerke; Carke; Boateclarke; Clarke; Clarke of the Deliueries; Clerke of the Deliueries; Clerkes; House Clarkes; Houseclarke; Brewery clerk; Drey Clerk; Drey Clarke; Drey Clarkes; Dreyclarke,Occupation,Employment Structure (Non-Kinship),
SI-0272,Clerk of the Creeks,Clarke of the Creekes,Office,"Administrative, Revenue & Enforcement Roles",
SI-0051,Clothier,Clothyares; Clothyer; Clothyers,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0348,Clothmaker,,Occupation,,
SI-0349,Clothman,,Occupation,,
SI-0052,Clothworker,Clotheworker,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0054,Collector,Collector of the Customes and Subsides of Tonnage and pondage; Collector of the custom and subsidye of clothes,Office,"Administrative, Revenue & Enforcement Roles",
SI-0366,Commissary,Comissarie,Office,,
SI-0056,Commissioner,Comyssioner; Commissioners; Comyssioners; Comissioners; Commissyoner,Office,Judicial & Legal Functions,
SI-0058,Constable,Cunstable,Office,"Administrative, Revenue & Enforcement Roles",
SI-0059,Cook,Cooke,Occupation,Hospitality & Provisioning,
SI-0060,Cooper,Couper; Cowper,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0061,Cordwainer,Shoemaker,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0062,Counsel,Councellor; Consell Lerned; Councell; Councelles,Occupation,Judicial & Legal Functions,
SI-0344,Countryman,Countrymen; Countriment,Kinship,,
SI-0063,Court Officer,,Office,Judicial & Legal Functions,
SI-0268,Court Steward,,Office,Judicial & Legal Functions,
SI-0297,Cousin,,Kinship,,
SI-0067,Currier,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0068,Customer,Cvstomer; Customers; Controllers,Office,"Administrative, Revenue & Enforcement Roles",
SI-0069,Customers Servant,Customers Servantes,Office,"Administrative, Revenue & Enforcement Roles",
SI-0070,Dame,,Status,Social Status,
SI-0285,Daughter,,Kinship,,
SI-0296,Daughter-in-Law,,Kinship,,
SI-0311,Dealer,Dealers,Occupation,,
SI-0074,Dean,Deane,Office,Ecclesiastical Authority & Religious Office,
SI-0077,Deceased,,Status,Legal Status,
SI-0081,Deputy,Deputie; Deputies; Deputye; Deputyes,Office,"Administrative, Revenue & Enforcement Roles",
SI-0082,Deputy Customer,,Office,"Administrative, Revenue & Enforcement Roles",
SI-0084,Doctor of Divinity,Doctor of Devynitye; Doctor of Divinitie; Doctor of Divynitye,Occupation,Professional & Learned Practice,
SI-0085,Doctor of Physick,Doctor of Physic; Docter of Physycke; Physician; Doctor in Phisicke,Occupation,Professional & Learned Practice,
SI-0086,Draper,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0088,Drover,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0089,Duke,,Status,Social Status,
SI-0090,Dyer,Dyers,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0091,Emperor,,Office; Status,Civic & Sovereign Authority,
SI-0093,Esquire,Esquier; Esquyer; Esquyre; Esquyars; Esquiers; Esquiors,Status,Social Status,
SI-0095,Examiner,,Office,Judicial & Legal Functions,
SI-0097,Factor,Factors; ffactor; ffactors;,Occupation,Commercial & Financial Intermediation,
SI-0350,Family,Familie; Famylie,Kinship,,
SI-0381,Farmer,,Occupation,,
SI-0282,Father,,Kinship,,
SI-0101,Fellmonger,ffelmongers,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0102,Feme Sole,sole merchant; sole merchaunt; sole marchaunt,Status,Legal Status,
SI-0098,Fermer,ffernor; ffermor; Fermor; Farmor,Office,"Administrative, Revenue & Enforcement Roles",
SI-0103,Fisherman,Fysherman; ffysherman; fysheman; Fisshermen; Fyshemen,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0104,Fishmonger,ffishemonger; ffishmonger; ffyshemonger; Fyshmonger,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0105,Foreigner,Stranger; Straunger; Merchaunt Straungers; Merchant Stranger; Marchant Stranger; Marchaunt Stranger; Alien; Alyn; Marchanstraungers; Allien; Strangar; Merchantstranger; Straungers; Strangers; Marchentt straunger,Status,Legal Status,
SI-0271,Founder,ffounder,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0106,Freeman,ffreman,Status,Legal Status,
SI-0108,Fruiterer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0109,Gaoler,,Office,"Administrative, Revenue & Enforcement Roles",
SI-0110,Gentleman,Gent; Gentilman; Gents; Gentillman; Gentylman; Gen̅t; Gen̅tl; Gentt,Status,Social Status,
SI-0111,Girdler,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0112,Goldsmith,Goldesmithe; Goldsmithes; Gouldsmythe:  Goulsmyeth,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0292,Granddaughter,,Kinship,,
SI-0286,Grandfather,,Kinship,,
SI-0287,Grandmother,,Kinship,,
SI-0291,Grandson,,Kinship,,
SI-0116,Grocer,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0117,Guild Master,,Office,Civic & Sovereign Authority,
SI-0316,Guild Warden,,Office,,
SI-0118,Haberdasher,Haberdassher; Haberdashere; Hatmaker,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0119,Halyer,,Occupation,"Carriage, Transport & Logistics",
SI-0120,Heir,heire; heires; heirs,Status,Kinship & Social Relations,
SI-0370,Horner,,Occupation,,
SI-0121,Horse Corser,,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0303,Hunter,,Occupation,,
SI-0356,Husband,husbande; housbande,Kinship,,
SI-0124,Husbandman,housbondman,Status,Social Status,
SI-0125,Informer,,Office,"Administrative, Revenue & Enforcement Roles",
SI-0126,Inhabitant,Inhabitantes; Inhabitaunt; Inhabitauntes; Inhabytaunt,Status,Legal Status,
SI-0127,Innkeeper,Innholder; Inholder,Occupation,Hospitality & Provisioning,
SI-0317,Inspector,,Office,,
SI-0361,Interloper,Interlopers,Status,,
SI-0129,Ironmonger,Iremonger; Yermownger,Occupation,Trade & Craft (Productive / Retail Labor),
SI-0130,Jew,Jewes; Jewess,Status,Legal Status,
SI-0371,Jeweller,one that dealeth muche in pretious Stones,Occupation,,
SI-0131,Journeyman,,Status,Employment Structure (Non-Kinship),
SI-0132,Judge,Judges,Office,Judicial & Legal Functions,
SI-0318,Juror,Jurie; Juror; Jurye,Office,,
SI-0135,Justice of the Peace,Justices of the Peace,Office,Judicial & Legal Functions,
SI-0136,Keeper,Keper,Office,"Administrative, Revenue & Enforcement Roles",
SI-0138,King,,Office; Status,Civic & Sovereign Authority,
SI-0355,Kinsman,kinsmen,Kinship,,
SI-0139,Knight,Knyght; Knighe; Knighte,Status,Social Status,
SI-0343,Knight of the Post,knight of the post,Office,,
SI-0264,Laborer,,Occupation,,
SI-0141,Lady,ladie; domine,Status,Social Status,
SI-0142,Lady Regent,,Office; Status,Civic & Sovereign Authority,
SI-0143,Launderess,,Occupation,Trade & Craft (Productive / Retail Labor),
